# Fix print output for fix temp_monitor
Mobile temp: 1918.215447232939141 K (Target: 973K)
Mobile temp: 1902.4565349572501418 K (Target: 973K)
Mobile temp: 1852.5625861603418798 K (Target: 973K)
Mobile temp: 1849.1921526478149644 K (Target: 973K)
Mobile temp: 1807.4487355408491567 K (Target: 973K)
Mobile temp: 1796.9591956365852639 K (Target: 973K)
Mobile temp: 1891.364059424808147 K (Target: 973K)
Mobile temp: 1926.1498495104876838 K (Target: 973K)
Mobile temp: 1823.9257561052634173 K (Target: 973K)
Mobile temp: 1762.2118808062241442 K (Target: 973K)
Mobile temp: 1777.4199695944816995 K (Target: 973K)
Mobile temp: 1751.3960929573233898 K (Target: 973K)
Mobile temp: 1824.0891012920171761 K (Target: 973K)
Mobile temp: 1844.7715492915972391 K (Target: 973K)
Mobile temp: 1920.317798593472844 K (Target: 973K)
Mobile temp: 1923.0627173501000016 K (Target: 973K)
Mobile temp: 1860.9909315398413128 K (Target: 973K)
Mobile temp: 1938.3740389318754751 K (Target: 973K)
Mobile temp: 1930.4002555493977979 K (Target: 973K)
Mobile temp: 1894.7925344266955108 K (Target: 973K)
Mobile temp: 1925.0162924486567135 K (Target: 973K)
Mobile temp: 1941.9253502395854412 K (Target: 973K)
Mobile temp: 1924.305150671293859 K (Target: 973K)
Mobile temp: 1865.7634305421295267 K (Target: 973K)
Mobile temp: 1875.1747880564282696 K (Target: 973K)
Mobile temp: 1830.4554109405028157 K (Target: 973K)
Mobile temp: 1909.1108914440853823 K (Target: 973K)
Mobile temp: 1951.9644078458620697 K (Target: 973K)
Mobile temp: 1999.6281882160315035 K (Target: 973K)
Mobile temp: 1948.5930454482318055 K (Target: 973K)
Mobile temp: 1920.403515748550717 K (Target: 973K)
Mobile temp: 2004.8317313248851406 K (Target: 973K)
Mobile temp: 2017.4080033899338105 K (Target: 973K)
Mobile temp: 1990.9306468335835234 K (Target: 973K)
Mobile temp: 1986.7500129001196001 K (Target: 973K)
Mobile temp: 1975.2816909539490098 K (Target: 973K)
Mobile temp: 1941.7867201671242583 K (Target: 973K)
Mobile temp: 1966.0857641007319216 K (Target: 973K)
Mobile temp: 1890.7447008754263607 K (Target: 973K)
Mobile temp: 1824.1503841168500912 K (Target: 973K)
Mobile temp: 1757.5175968494884273 K (Target: 973K)
Mobile temp: 1774.7523383291509163 K (Target: 973K)
Mobile temp: 1749.414293560314718 K (Target: 973K)
Mobile temp: 1822.2289967435021936 K (Target: 973K)
