# Time-averaged data for fix detailed_timeseries
# TimeStep v_E_binding v_co2_surf_distance v_coverage v_CO2_height v_E_interaction v_E_HAP_kcal v_E_CO2_kcal v_temp_current v_press_current
80000 -2.29365e-08 -6.4384 0.000577701 -6.4384 2.29365e-08 -1.93214e+07 -70.6012 980.862 3425.97
81000 -2.30102e-08 -6.6809 0.000577701 -6.6809 2.30102e-08 -1.93217e+07 -70.5911 918.813 798.149
82000 -2.30055e-08 -6.80643 0.000577701 -6.80643 2.30055e-08 -1.93213e+07 -70.3189 882.958 1615.53
83000 -2.291e-08 -6.43325 0.000577701 -6.43325 2.291e-08 -1.93209e+07 -69.6412 943.631 2430.94
84000 -2.29725e-08 -5.62125 0.000577701 -5.62125 2.29725e-08 -1.93212e+07 -69.442 849.612 1931.03
85000 -2.30341e-08 -4.77995 0.000577701 -4.77995 2.30341e-08 -1.93212e+07 -69.8762 887.786 1052.2
86000 -2.29641e-08 -4.48651 0.000577701 -4.48651 2.29641e-08 -1.93213e+07 -70.1826 844.768 -2186.85
87000 -2.29217e-08 -4.95979 0.000577701 -4.95979 2.29217e-08 -1.9321e+07 -69.8428 853.568 -685.184
88000 -2.2984e-08 -5.746 0.000577701 -5.746 2.2984e-08 -1.93209e+07 -69.6826 890.848 922.105
89000 -2.29499e-08 -6.55124 0.000577701 -6.55124 2.29499e-08 -1.93206e+07 -69.9449 878.047 1453.03
90000 -2.30317e-08 -6.92492 0.000577701 -6.92492 2.30317e-08 -1.93206e+07 -70.3767 870.838 -293.925
91000 -2.29247e-08 -7.05363 0.000577701 -7.05363 2.29247e-08 -1.93206e+07 -70.1802 769.169 -165.042
92000 -2.29515e-08 -6.24995 0.000577701 -6.24995 2.29515e-08 -1.93206e+07 -61.8066 765.682 91.363
93000 -2.29435e-08 -2.32332 0.000577701 -2.32332 2.29435e-08 -1.93201e+07 -15.9737 819.496 123.656
