# Time-averaged data for fix thermodynamic_data
# TimeStep c_pe_total c_ke_total v_E_total v_E_interaction v_E_HAP v_E_CO2 v_E_binding v_E_interaction_kcal v_E_HAP_kcal v_E_CO2_kcal v_E_binding_kcal v_temp_current v_press_current v_vol_current v_coverage v_CO2_height c_temp_mobile_prod c_temp_system_prod
50400 -838414 311.978 -838102 696.133 -838102 -696.144 -696.133 16053.5 -1.93274e+07 -16053.7 -16053.5 1395.13 5097.5 114404 0.000577701 -0.79725 1575.27 1395.13
50500 -838404 291.684 -838113 1391.1 -838113 -1391.03 -1391.1 32080.1 -1.93276e+07 -32078.5 -32080.1 1304.37 5501.35 114437 0.000577701 -1.14542 1490.17 1304.37
50600 -838395 284.117 -838111 696.17 -838111 -696.445 -696.17 16054.3 -1.93276e+07 -16060.6 -16054.3 1270.53 6132.58 114363 0.000577701 -1.15194 1458.91 1270.53
50700 -838403 298.949 -838104 1391.62 -838104 -1392.12 -1391.62 32091.9 -1.93274e+07 -32103.6 -32091.9 1336.86 5748.47 114498 0.000577701 -1.47197 1495.54 1336.86
50800 -838403 287.031 -838116 766.237 -838116 -766.383 -766.237 17670.1 -1.93277e+07 -17673.5 -17670.1 1283.57 5674.8 114443 0.000577701 -1.39461 1475.31 1283.57
50900 -838405 289.434 -838116 1391.52 -838115 -1392.22 -1391.52 32089.7 -1.93277e+07 -32105.8 -32089.7 1294.31 4825.36 114449 0.000577701 -1.47262 1470.45 1294.31
51000 -838401 289.773 -838111 696.702 -838111 -696.642 -696.702 16066.6 -1.93276e+07 -16065.2 -16066.6 1295.83 5450.08 114280 0.000577701 -1.24645 1462.11 1295.83
51100 -838391 278.116 -838113 1390.91 -838112 -1391.45 -1390.91 32075.6 -1.93276e+07 -32088.1 -32075.6 1243.7 5811.4 114417 0.000577701 -1.27862 1424.3 1243.7
51200 -838403 298.012 -838105 696.379 -838106 -695.62 -696.379 16059.1 -1.93275e+07 -16041.6 -16059.1 1332.67 6048.05 114342 0.000577701 -0.878086 1510.76 1332.67
51300 -838418 303.557 -838114 1391.09 -838114 -1390.96 -1391.09 32079.8 -1.93277e+07 -32076.7 -32079.8 1357.47 5657.22 114355 0.000577701 -0.859219 1548 1357.47
51400 -838415 303.577 -838111 1390.87 -838111 -1391.34 -1390.87 32074.7 -1.93276e+07 -32085.5 -32074.7 1357.56 6622.95 114430 0.000577701 -1.21256 1541.73 1357.56
51500 -838412 305.036 -838107 1391.58 -838107 -1391.55 -1391.58 32091 -1.93275e+07 -32090.5 -32091 1364.08 6356.42 114405 0.000577701 -1.07063 1560.91 1364.08
51600 -838409 297.74 -838111 1391.68 -838111 -1391.75 -1391.68 32093.5 -1.93276e+07 -32095 -32093.5 1331.45 6304.67 114450 0.000577701 -0.958223 1511.2 1331.45
51700 -838408 296.088 -838112 1391.97 -838112 -1391.57 -1391.97 32100.1 -1.93276e+07 -32090.8 -32100.1 1324.07 6165.97 114400 0.000577701 -0.956857 1502.67 1324.07
51800 -838423 305.036 -838118 1391.23 -838117 -1391.69 -1391.23 32083 -1.93277e+07 -32093.7 -32083 1364.08 5379.68 114602 0.000577701 -1.13667 1574.51 1364.08
51900 -838413 308.354 -838105 1391.45 -838104 -1392.02 -1391.45 32088.1 -1.93274e+07 -32101.3 -32088.1 1378.92 5181.96 114526 0.000577701 -1.3632 1546.74 1378.92
52000 -838411 305.568 -838105 696.757 -838105 -696.951 -696.757 16067.8 -1.93275e+07 -16072.3 -16067.8 1366.46 5368.64 114439 0.000577701 -1.30142 1560.19 1366.46
52100 -838408 305.695 -838102 695.92 -838101 -696.27 -695.92 16048.5 -1.93274e+07 -16056.6 -16048.5 1367.03 7683.75 114374 0.000577701 -1.32861 1581.37 1367.03
52200 -838413 311.805 -838101 696.44 -838102 -695.711 -696.44 16060.5 -1.93274e+07 -16043.7 -16060.5 1394.35 7316.08 114381 0.000577701 -1.10642 1570.08 1394.35
52300 -838415 305.639 -838109 696.324 -838110 -696.094 -696.324 16057.9 -1.93276e+07 -16052.6 -16057.9 1366.78 6897.81 114344 0.000577701 -0.928265 1570.28 1366.78
52400 -838416 310.112 -838106 696.286 -838107 -695.364 -696.286 16057 -1.93275e+07 -16035.7 -16057 1386.78 5728.02 114485 0.000577701 -0.967371 1575.78 1386.78
52500 -838410 310.96 -838099 695.428 -838099 -695.669 -695.428 16037.2 -1.93273e+07 -16042.8 -16037.2 1390.57 5311.77 114498 0.000577701 -1.27633 1576.85 1390.57
52600 -838404 303.947 -838100 696.477 -838100 -696.325 -696.477 16061.4 -1.93273e+07 -16057.9 -16061.4 1359.21 6068.98 114328 0.000577701 -1.18332 1568.17 1359.21
52700 -838407 301.826 -838105 695.784 -838105 -696.142 -695.784 16045.4 -1.93274e+07 -16053.7 -16045.4 1349.73 6028.59 114444 0.000577701 -1.33409 1532.73 1349.73
52800 -838422 304.169 -838118 696.636 -838119 -696.172 -696.636 16065 -1.93278e+07 -16054.3 -16065 1360.2 6450.71 114454 0.000577701 -1.12212 1545.39 1360.2
52900 -838406 297.997 -838108 696.307 -838108 -696.581 -696.307 16057.5 -1.93275e+07 -16063.8 -16057.5 1332.6 5721.01 114448 0.000577701 -1.00586 1506.44 1332.6
53000 -838398 278.461 -838120 1391.33 -838120 -1391.19 -1391.33 32085.2 -1.93278e+07 -32082 -32085.2 1245.24 6386.81 114589 0.000577701 -0.98614 1424.24 1245.24
53100 -838391 287 -838104 1391.07 -838104 -1391.32 -1391.07 32079.3 -1.93274e+07 -32085.2 -32079.3 1283.43 6549.53 114337 0.000577701 -1.07572 1460.92 1283.43
53200 -838391 288.262 -838103 1390.85 -838102 -1391.35 -1390.85 32074.2 -1.93274e+07 -32085.8 -32074.2 1289.07 5271.61 114505 0.000577701 -1.02927 1454 1289.07
53300 -838378 271.81 -838106 1391.54 -838107 -1391.09 -1391.54 32090.1 -1.93275e+07 -32079.9 -32090.1 1215.5 5402.77 114481 0.000577701 -0.886406 1387.88 1215.5
53400 -838394 286.561 -838108 1390.7 -838107 -1391.25 -1390.7 32070.8 -1.93275e+07 -32083.6 -32070.8 1281.46 5082.24 114485 0.000577701 -1.07276 1438.34 1281.46
53500 -838399 281.697 -838118 1390.86 -838117 -1391.38 -1390.86 32074.5 -1.93277e+07 -32086.5 -32074.5 1259.71 5931.68 114426 0.000577701 -1.17878 1439.13 1259.71
53600 -838384 274.847 -838109 696.647 -838109 -696.362 -696.647 16065.3 -1.93276e+07 -16058.7 -16065.3 1229.08 5291.21 114420 0.000577701 -1.01141 1407.08 1229.08
53700 -838381 280.1 -838101 696.035 -838101 -696.222 -696.035 16051.2 -1.93274e+07 -16055.5 -16051.2 1252.57 3560.17 114513 0.000577701 -1.03269 1396.64 1252.57
53800 -838393 287.561 -838105 696.398 -838106 -695.837 -696.398 16059.6 -1.93275e+07 -16046.6 -16059.6 1285.94 4053.57 114514 0.000577701 -1.03472 1476.44 1285.94
53900 -838395 284.357 -838111 695.403 -838110 -695.734 -695.403 16036.6 -1.93276e+07 -16044.2 -16036.6 1271.61 5273.93 114377 0.000577701 -1.21026 1439.73 1271.61
54000 -838381 277.338 -838103 696.209 -838104 -695.811 -696.209 16055.2 -1.93274e+07 -16046 -16055.2 1240.22 5734.94 114488 0.000577701 -1.14475 1397.9 1240.22
54100 -838388 282.19 -838106 695.609 -838106 -695.628 -695.609 16041.4 -1.93275e+07 -16041.8 -16041.4 1261.92 5544.28 114553 0.000577701 -1.03589 1447.12 1261.92
54200 -838372 276.156 -838096 695.915 -838096 -695.556 -695.915 16048.4 -1.93272e+07 -16040.1 -16048.4 1234.93 5056.41 114395 0.000577701 -1.00363 1387.93 1234.93
