# Time-averaged data for fix co2_dynamics_monitor
# TimeStep v_E_binding v_co2_surf_distance v_coverage v_CO2_height c_coord_avg_short c_coord_avg_medium c_coord_avg_long c_count_molecular c_count_polarized c_count_carbonate
77500 -2.29426e-08 -5.8119 0.000577701 -5.8119 0 0 0 0 0 0
78000 -2.29469e-08 -5.96111 0.000577701 -5.96111 0 0 0 0 0 0
78500 -2.30018e-08 -6.05734 0.000577701 -6.05734 0 0 0 0 0 0
79000 -2.30346e-08 -6.18387 0.000577701 -6.18387 0 0 0 0 0 0
79500 -2.29946e-08 -6.29092 0.000577701 -6.29092 0 0 0 0 0 0
80000 -2.29365e-08 -6.4384 0.000577701 -6.4384 0 0 0 0 0 0
80500 -2.29652e-08 -6.59062 0.000577701 -6.59062 0 0 0 0 0 0
81000 -2.30102e-08 -6.6809 0.000577701 -6.6809 0 0 0 0 0 0
81500 -2.30118e-08 -6.79098 0.000577701 -6.79098 0 0 0 0 0 0
82000 -2.30055e-08 -6.80643 0.000577701 -6.80643 0 0 0 0 0 0
82500 -2.30168e-08 -6.7376 0.000577701 -6.7376 0 0 0 0 0 0
83000 -2.291e-08 -6.43325 0.000577701 -6.43325 0 0 0 0 0 0
83500 -2.29433e-08 -6.0773 0.000577701 -6.0773 0 0 0 0 0 0
84000 -2.29725e-08 -5.62125 0.000577701 -5.62125 0 0 0 0 0 0
84500 -2.30044e-08 -5.17889 0.000577701 -5.17889 0 0 0 0 0 0
85000 -2.30341e-08 -4.77995 0.000577701 -4.77995 0 0 0 0 0 0
85500 -2.28886e-08 -4.56327 0.000577701 -4.56327 0 0 0 0 0 0
86000 -2.29641e-08 -4.48651 0.000577701 -4.48651 0 0 0 0 0 0
86500 -2.28876e-08 -4.65618 0.000577701 -4.65618 0 0 0 0 0 0
87000 -2.29217e-08 -4.95979 0.000577701 -4.95979 0 0 0 0 0 0
87500 -2.30339e-08 -5.32257 0.000577701 -5.32257 0 0 0 0 0 0
88000 -2.2984e-08 -5.746 0.000577701 -5.746 0 0 0 0 0 0
88500 -2.29738e-08 -6.16582 0.000577701 -6.16582 0 0 0 0 0 0
89000 -2.29499e-08 -6.55124 0.000577701 -6.55124 0 0 0 0 0 0
89500 -2.29624e-08 -6.76404 0.000577701 -6.76404 0 0 0 0 0 0
90000 -2.30317e-08 -6.92492 0.000577701 -6.92492 0 0 0 0 0 0
90500 -2.29953e-08 -7.00652 0.000577701 -7.00652 0 0 0 0 0 0
91000 -2.29247e-08 -7.05363 0.000577701 -7.05363 0 0 0 0 0 0
91500 -2.29452e-08 -6.7936 0.000577701 -6.7936 0 0 0 0 0 0
92000 -2.29515e-08 -6.24995 0.000577701 -6.24995 0 0 0 0 0 0
92500 -694.581 -5.12352 0.000577701 -5.12352 0 0 1 0 0 0
93000 -2.29435e-08 -2.32332 0.000577701 -2.32332 0 0 0 0 0 0
93500 -695.598 -2.80131 0.000577701 -2.80131 0 0 1 0 0 0
