# Time-averaged data for fix proton_water
# TimeStep c_count_H_water c_count_O_carbonate c_avg_H_strong c_avg_H_mobile
71800 1 0 0.592361 1.47083
71900 0 0 0.579167 1.45347
72000 0.2 0 0.574306 1.48403
72100 0.3 0 0.56875 1.53681
72200 0.9 0 0.583333 1.50833
72300 0 0 0.550694 1.50417
72400 0 0 0.552083 1.49653
72500 0 0 0.597917 1.53333
72600 1 0 0.582639 1.52292
72700 1 0 0.575694 1.46736
72800 0 0 0.565972 1.47708
72900 1 0 0.5625 1.47292
73000 1 0 0.577778 1.49306
73100 1 0 0.572222 1.50556
73200 1 0 0.583333 1.52083
73300 2.7 0 0.571528 1.47569
73400 1.1 0 0.572917 1.46944
73500 0.6 0 0.593056 1.45903
73600 1.6 0 0.583333 1.46875
73700 1 0 0.611111 1.48125
73800 2 0 0.595139 1.52569
73900 1.2 0 0.576389 1.525
74000 1.5 0 0.569444 1.54167
74100 1 0 0.569444 1.49097
74200 1.4 0 0.592361 1.5125
74300 2 0 0.569444 1.51389
74400 1 0 0.567361 1.48542
74500 1 0 0.552778 1.48056
74600 1 0 0.579861 1.47569
74700 1 0 0.571528 1.52292
74800 1 0 0.59375 1.475
74900 2 0 0.60625 1.4625
75000 1 0 0.575 1.49306
75100 1 0 0.559722 1.47986
75200 2 0 0.557639 1.5375
75300 0 0 0.561111 1.51806
75400 0.2 0 0.576389 1.51528
75500 0 0 0.586111 1.50139
75600 0.6 0 0.554861 1.4625
75700 2 0 0.55625 1.49514
75800 3 0 0.5625 1.51736
75900 0.3 0 0.588194 1.49167
76000 1 0 0.572222 1.51944
76100 1 0 0.56875 1.52778
76200 0 0 0.566667 1.50139
76300 0 0 0.557639 1.50278
76400 0 0 0.573611 1.49167
76500 0 0 0.563194 1.46458
76600 0 0 0.576389 1.45208
76700 0.3 0 0.564583 1.45972
76800 0.5 0 0.565972 1.45972
76900 0 0 0.554861 1.45833
77000 1 0 0.55625 1.46944
77100 0.1 0 0.577778 1.475
77200 0.2 0 0.564583 1.43403
77300 0.7 0 0.574306 1.45764
77400 1 0 0.561111 1.46458
77500 2 0 0.590278 1.47222
77600 0.4 0 0.558333 1.46458
77700 0 0 0.5375 1.48125
77800 0.9 0 0.563889 1.4875
77900 1 0 0.579167 1.48403
78000 0 0 0.556944 1.47292
78100 0 0 0.564583 1.46875
78200 1 0 0.569444 1.44653
78300 1 0 0.55625 1.45139
78400 1 0 0.554861 1.44306
78500 0 0 0.549306 1.47778
78600 1 0 0.563194 1.49931
78700 1 0 0.572917 1.41111
78800 0.3 0 0.572917 1.46042
78900 1.9 0 0.551389 1.42569
79000 2 0 0.5625 1.42361
79100 2 0 0.555556 1.45139
79200 1.9 0 0.565972 1.43056
79300 1 0 0.529861 1.44306
79400 1 0 0.5375 1.43472
79500 1 0 0.555556 1.45208
79600 1 0 0.561111 1.43958
79700 1 0 0.569444 1.41181
79800 1 0 0.563889 1.42083
79900 2 0 0.552083 1.43611
80000 1.7 0 0.574306 1.45
80100 1 0 0.554167 1.45139
80200 1 0 0.570139 1.4375
80300 1 0 0.539583 1.45347
80400 1 0 0.5375 1.44722
80500 1 0 0.524306 1.45556
80600 1 0 0.557639 1.46319
80700 1.4 0 0.541667 1.43056
80800 1 0 0.540972 1.43681
80900 2 0 0.557639 1.46736
81000 1 0 0.56875 1.46528
81100 1 0 0.55 1.45069
81200 1 0 0.542361 1.46111
81300 1 0 0.547222 1.43542
81400 1 0 0.563194 1.44514
81500 1 0 0.569444 1.42917
81600 1 0 0.561806 1.43958
81700 2 0 0.569444 1.43819
81800 2 0 0.547917 1.44861
81900 2 0 0.559722 1.41042
82000 1 0 0.556944 1.42222
82100 1 0 0.561111 1.39028
82200 1 0 0.553472 1.44444
82300 1 0 0.5625 1.4375
82400 1 0 0.551389 1.42153
82500 1 0 0.545833 1.4125
82600 1 0 0.548611 1.38611
82700 1 0 0.540972 1.39722
82800 1 0 0.536111 1.40417
82900 1 0 0.540278 1.41736
83000 1 0 0.554167 1.39028
83100 1 0 0.541667 1.40556
83200 1 0 0.555556 1.44097
83300 1 0 0.552083 1.44236
83400 1 0 0.54375 1.46528
83500 1 0 0.552083 1.44861
83600 1 0 0.539583 1.40486
83700 1 0 0.548611 1.40625
83800 2 0 0.550694 1.42292
83900 1 0 0.539583 1.41736
84000 1 0 0.553472 1.40417
84100 1 0 0.548611 1.40972
84200 1 0 0.554861 1.42639
84300 1 0 0.541667 1.41528
84400 1 0 0.555556 1.41667
84500 1 0 0.554861 1.40625
84600 1 0 0.548611 1.375
84700 1 0 0.556944 1.41042
84800 1 0 0.559722 1.39792
84900 1 0 0.577778 1.39722
85000 1 0 0.558333 1.40417
85100 1 0 0.575694 1.40972
85200 1 0 0.575694 1.39653
85300 1 0 0.548611 1.41042
85400 1 0 0.573611 1.40625
85500 1 0 0.577083 1.39167
85600 1 0 0.555556 1.43056
85700 1 0 0.541667 1.40833
85800 1 0 0.534722 1.39792
85900 1 0 0.534722 1.40417
86000 1 0 0.555556 1.38194
86100 1 0 0.554167 1.40556
86200 1 0 0.555556 1.42222
86300 1 0 0.548611 1.40417
86400 1 0 0.557639 1.39097
86500 1 0 0.545139 1.36319
86600 1 0 0.549306 1.40486
86700 1 0 0.555556 1.41806
86800 1 0 0.522222 1.44167
86900 1 0 0.541667 1.44861
87000 1 0 0.541667 1.45556
87100 1 0 0.516667 1.45833
87200 1 0 0.569444 1.43472
87300 1 0 0.563194 1.41667
87400 1 0 0.536806 1.43472
87500 1 0 0.576389 1.45833
87600 1 0 0.554861 1.49444
87700 1 0 0.55 1.43264
87800 1 0 0.529167 1.43819
87900 1 0 0.550694 1.40139
88000 1 0 0.527778 1.44306
88100 1 0 0.521528 1.44444
88200 1 0 0.546528 1.46319
88300 1 0 0.534722 1.45
88400 1 0 0.547222 1.41181
88500 1 0 0.528472 1.42431
88600 1 0 0.5375 1.39653
88700 1 0 0.542361 1.44097
88800 2 0 0.555556 1.44236
88900 1 0 0.536111 1.37847
89000 1 0 0.548611 1.40069
89100 1 0 0.545139 1.41319
89200 1 0 0.54375 1.40625
89300 1 0 0.544444 1.41181
89400 1 0 0.540972 1.38889
89500 1 0 0.54375 1.38611
89600 1 0 0.545139 1.40139
89700 1 0 0.548611 1.39861
89800 1 0 0.540972 1.40694
89900 1 0 0.541667 1.3875
90000 2 0 0.542361 1.37639
90100 1 0 0.542361 1.38194
90200 1 0 0.539583 1.35417
90300 1 0 0.53125 1.3875
90400 1 0 0.530556 1.37292
90500 1 0 0.534722 1.36319
90600 1 0 0.529861 1.38819
90700 1 0 0.529167 1.37847
90800 1 0 0.541667 1.39167
90900 2 0 0.539583 1.39722
91000 1 0 0.528472 1.39792
91100 1 0 0.545833 1.40417
91200 1 0 0.543056 1.39236
91300 1 0 0.541667 1.41181
91400 1 0 0.55 1.41667
91500 2 0 0.538194 1.38819
91600 1 0 0.533333 1.39097
91700 1 0 0.532639 1.38819
91800 2 0 0.551389 1.40347
91900 1 1 0.556944 1.41042
92000 1 1 0.554861 1.36528
92100 1.3 1 0.552778 1.35972
92200 1 1 0.541667 1.36944
92300 1 1 0.53125 1.36875
92400 1 1 0.527778 1.36528
92500 1 1 0.534722 1.38333
92600 1 1 0.534722 1.36944
92700 2 1 0.561806 1.39931
92800 1 1 0.544444 1.375
92900 1 2 0.548611 1.39375
93000 1 2 0.566667 1.41944
93100 1 2 0.5625 1.40694
93200 2 2 0.5625 1.40625
93300 1 2 0.549306 1.41597
93400 1 2 0.548611 1.38125
93500 1 2 0.539583 1.36806
93600 1 1 0.559722 1.375
93700 1.1 1 0.570833 1.37639
93800 2 1 0.569444 1.38889
