# Time-averaged data for fix rdf_CaO_save
# TimeStep Number-of-rows
# Row c_rdf_CaO[1] c_rdf_CaO[2] c_rdf_CaO[3]
44000 100
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0.125677 0.00180556
26 1.53 0.151682 0.00416667
27 1.59 0.48748 0.0123611
28 1.65 0.421999 0.02
29 1.71 0.635814 0.0323611
30 1.77 0.826809 0.0495833
31 1.83 1.10414 0.0741667
32 1.89 2.71359 0.138611
33 1.95 2.85679 0.210833
34 2.01 4.48309 0.33125
35 2.07 6.39172 0.513333
36 2.13 6.50625 0.709583
37 2.19 8.75957 0.988889
38 2.25 8.70302 1.28181
39 2.31 10.9974 1.67194
40 2.37 10.8901 2.07861
41 2.43 9.53817 2.45306
42 2.49 8.42707 2.80042
43 2.55 7.03606 3.10458
44 2.61 6.21025 3.38583
45 2.67 6.0163 3.67097
46 2.73 5.42117 3.93958
47 2.79 4.32903 4.16361
48 2.85 3.61113 4.35861
49 2.91 3.07648 4.53181
50 2.97 3.0907 4.71306
51 3.03 2.36657 4.8575
52 3.09 2.19892 4.99708
53 3.15 2.25072 5.14556
54 3.21 2.59522 5.32333
55 3.27 1.78187 5.45
56 3.33 2.49442 5.63389
57 3.39 2.007 5.78722
58 3.45 2.0501 5.94944
59 3.51 1.84833 6.10083
60 3.57 1.75232 6.24931
61 3.63 1.9216 6.41764
62 3.69 2.24318 6.62069
63 3.75 2.59244 6.86306
64 3.81 3.36921 7.18819
65 3.87 3.35061 7.52181
66 3.93 3.24096 7.85458
67 3.99 3.46441 8.22125
68 4.05 3.57273 8.61083
69 4.11 3.4927 9.00306
70 4.17 3.43005 9.39958
71 4.23 3.20512 9.78083
72 4.29 3.05928 10.1551
73 4.35 3.49992 10.5954
74 4.41 3.28067 11.0196
75 4.47 2.94756 11.4111
76 4.53 3.1886 11.8461
77 4.59 3.72759 12.3682
78 4.65 3.29181 12.8414
79 4.71 2.69247 13.2385
80 4.77 3.25868 13.7314
81 4.83 3.2114 14.2294
82 4.89 2.76528 14.669
83 4.95 2.58519 15.0901
84 5.01 2.48535 15.5049
85 5.07 2.50248 15.9325
86 5.13 2.3006 16.335
87 5.19 2.41138 16.7668
88 5.25 2.11403 17.1542
89 5.31 2.58883 17.6394
90 5.37 2.72552 18.1619
91 5.43 2.37441 18.6274
92 5.49 2.42332 19.1129
93 5.55 2.74758 19.6756
94 5.61 2.69642 20.2397
95 5.67 3.03674 20.8888
96 5.73 2.56949 21.4496
97 5.79 2.82741 22.0797
98 5.85 2.59575 22.6703
99 5.91 3.04092 23.3764
100 5.97 2.59153 23.9904
44400 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0.0624268 0.000972222
27 1.59 0.173385 0.00388889
28 1.65 0.482665 0.0126389
29 1.71 0.727846 0.0268056
30 1.77 0.579392 0.0388889
31 1.83 1.43912 0.0709722
32 1.89 2.38924 0.127778
33 1.95 3.42953 0.214583
34 2.01 4.00795 0.322361
35 2.07 6.57853 0.51
36 2.13 6.13083 0.695139
37 2.19 8.31406 0.960556
38 2.25 9.62388 1.28486
39 2.31 11.3089 1.68653
40 2.37 10.5205 2.07986
41 2.43 9.15931 2.43986
42 2.49 8.24212 2.78
43 2.55 7.81365 3.11819
44 2.61 6.78149 3.42569
45 2.67 5.71365 3.69681
46 2.73 4.72312 3.93111
47 2.79 4.35356 4.15667
48 2.85 3.5247 4.34722
49 2.91 3.13428 4.52389
50 2.97 2.73461 4.68444
51 3.03 2.17959 4.81764
52 3.09 2.24005 4.96
53 3.15 2.32806 5.11375
54 3.21 2.2093 5.26528
55 3.27 2.26756 5.42667
56 3.33 2.35972 5.60083
57 3.39 2.02276 5.75556
58 3.45 2.00218 5.91417
59 3.51 2.04755 6.08208
60 3.57 1.79447 6.23431
61 3.63 1.77835 6.39028
62 3.69 2.24195 6.59347
63 3.75 2.69472 6.84569
64 3.81 3.31632 7.16611
65 3.87 3.2993 7.495
66 3.93 3.56796 7.86181
67 3.99 3.30696 8.21222
68 4.05 3.53805 8.59847
69 4.11 3.55391 8.99806
70 4.17 3.19795 9.36819
71 4.23 3.30278 9.76153
72 4.29 3.22907 10.1571
73 4.35 3.20465 10.5607
74 4.41 3.26821 10.9837
75 4.47 3.44518 11.4419
76 4.53 3.22958 11.8831
77 4.59 3.41505 12.3619
78 4.65 3.13651 12.8133
79 4.71 2.92993 13.246
80 4.77 3.07795 13.7121
81 4.83 3.22624 14.2131
82 4.89 2.65287 14.6353
83 4.95 2.54897 15.051
84 5.01 2.28789 15.4332
85 5.07 2.53277 15.8665
86 5.13 2.37711 16.2829
87 5.19 2.29921 16.6951
88 5.25 2.39095 17.1337
89 5.31 2.36591 17.5778
90 5.37 2.48137 18.054
91 5.43 2.52438 18.5494
92 5.49 2.58935 19.0689
93 5.55 2.74562 19.6318
94 5.61 2.4851 20.1524
95 5.67 3.08044 20.8115
96 5.73 2.57912 21.3751
97 5.79 2.92236 22.0272
98 5.85 2.66337 22.6339
99 5.91 2.80859 23.2868
100 5.97 2.53396 23.8879
44500 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0.107087 0.00166667
27 1.59 0.0660597 0.00277778
28 1.65 0.698005 0.0154167
29 1.71 0.557175 0.02625
30 1.77 0.92659 0.0455556
31 1.83 2.10797 0.0925
32 1.89 1.86499 0.136806
33 1.95 3.05388 0.214028
34 2.01 3.98042 0.320972
35 2.07 5.77118 0.485417
36 2.13 6.72101 0.688194
37 2.19 8.45267 0.957778
38 2.25 9.79386 1.2875
39 2.31 11.0651 1.68014
40 2.37 10.9171 2.08792
41 2.43 8.68698 2.42903
42 2.49 8.55312 2.78167
43 2.55 8.07171 3.13069
44 2.61 7.13146 3.45375
45 2.67 5.7688 3.72722
46 2.73 4.68565 3.95944
47 2.79 3.50958 4.14111
48 2.85 3.21668 4.31486
49 2.91 3.21634 4.49597
50 2.97 2.96924 4.67014
51 3.03 2.31823 4.81167
52 3.09 2.40626 4.96444
53 3.15 2.02906 5.09833
54 3.21 2.34927 5.25931
55 3.27 2.16422 5.41319
56 3.33 2.49961 5.5975
57 3.39 2.13906 5.76097
58 3.45 1.66527 5.89278
59 3.51 2.32938 6.08361
60 3.57 1.88957 6.24375
61 3.63 1.62307 6.38597
62 3.69 2.30702 6.59486
63 3.75 2.89039 6.86514
64 3.81 3.42017 7.19528
65 3.87 3.12662 7.50667
66 3.93 3.33213 7.84889
67 3.99 3.47544 8.21681
68 4.05 3.41253 8.58903
69 4.11 3.60931 8.99444
70 4.17 3.42809 9.39083
71 4.23 3.13422 9.76375
72 4.29 3.17766 10.1526
73 4.35 3.33016 10.5717
74 4.41 3.39056 11.0101
75 4.47 3.30523 11.4493
76 4.53 3.44642 11.9196
77 4.59 3.41435 12.3979
78 4.65 2.97226 12.8253
79 4.71 2.78778 13.2365
80 4.77 2.87512 13.6715
81 4.83 3.25902 14.1771
82 4.89 2.65619 14.5994
83 4.95 2.59478 15.0222
84 5.01 2.33162 15.4114
85 5.07 2.56122 15.8492
86 5.13 2.47934 16.2831
87 5.19 2.24486 16.6851
88 5.25 2.11954 17.0736
89 5.31 2.38449 17.5207
90 5.37 2.62348 18.0237
91 5.43 2.6309 18.5396
92 5.49 2.59042 19.0588
93 5.55 2.82418 19.6372
94 5.61 2.64271 20.1903
95 5.67 2.85865 20.8014
96 5.73 2.5096 21.3493
97 5.79 2.66099 21.9425
98 5.85 2.73547 22.565
99 5.91 2.68491 23.1886
100 5.97 2.73568 23.8369
44600 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0.0482772 0.000694444
26 1.53 0.0623692 0.00166667
27 1.59 0.206229 0.00513889
28 1.65 0.482663 0.0138889
29 1.71 0.791683 0.0293056
30 1.77 0.952082 0.0491667
31 1.83 1.95569 0.0927778
32 1.89 2.75022 0.158194
33 1.95 3.02235 0.234722
34 2.01 3.86178 0.338611
35 2.07 6.65911 0.528611
36 2.13 5.68702 0.700417
37 2.19 8.90688 0.984861
38 2.25 10.0366 1.32319
39 2.31 10.7966 1.70681
40 2.37 11.4041 2.13333
41 2.43 8.49544 2.46736
42 2.49 9.2145 2.84778
43 2.55 6.61457 3.13417
44 2.61 7.30897 3.46569
45 2.67 4.92141 3.69931
46 2.73 4.51161 3.92319
47 2.79 3.99799 4.13042
48 2.85 3.49771 4.31958
49 2.91 2.82527 4.47889
50 2.97 2.68867 4.63681
51 3.03 2.22199 4.77264
52 3.09 2.92303 4.95847
53 3.15 2.34813 5.11361
54 3.21 2.29358 5.27097
55 3.27 2.1205 5.42194
56 3.33 2.23466 5.58694
57 3.39 2.50297 5.77847
58 3.45 1.87518 5.92708
59 3.51 2.19256 6.10694
60 3.57 1.92634 6.27042
61 3.63 1.98827 6.44486
62 3.69 2.11407 6.63653
63 3.75 2.86426 6.90472
64 3.81 3.08229 7.20264
65 3.87 2.98611 7.50042
66 3.93 3.33313 7.84319
67 3.99 3.68838 8.23417
68 4.05 3.44122 8.61
69 4.11 3.63283 9.01861
70 4.17 3.27967 9.39833
71 4.23 3.12429 9.77056
72 4.29 2.96957 10.1344
73 4.35 3.48559 10.5736
74 4.41 3.37322 11.0104
75 4.47 3.52021 11.4788
76 4.53 3.23446 11.9207
77 4.59 3.42168 12.4007
78 4.65 2.80926 12.8051
79 4.71 2.73152 13.2086
80 4.77 3.12161 13.6815
81 4.83 2.80133 14.1167
82 4.89 2.66762 14.5414
83 4.95 2.79057 14.9967
84 5.01 2.51973 15.4178
85 5.07 2.35577 15.821
86 5.13 2.56332 16.2701
87 5.19 2.24033 16.6719
88 5.25 2.15311 17.0671
89 5.31 2.41988 17.5214
90 5.37 2.75381 18.0501
91 5.43 2.50865 18.5426
92 5.49 2.61952 19.0683
93 5.55 2.91598 19.6664
94 5.61 2.61206 20.2138
95 5.67 2.59924 20.7701
96 5.73 2.52033 21.3211
97 5.79 2.70603 21.9251
98 5.85 2.7593 22.5539
99 5.91 2.81761 23.2092
100 5.97 2.55526 23.8156
44700 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0.0483 0.000694444
26 1.53 0.026746 0.00111111
27 1.59 0.0247374 0.00152778
28 1.65 0.497934 0.0105556
29 1.71 0.670437 0.0236111
30 1.77 1.45773 0.0540278
31 1.83 2.09227 0.100694
32 1.89 2.55135 0.161389
33 1.95 3.06042 0.238889
34 2.01 3.78378 0.340694
35 2.07 6.95501 0.539167
36 2.13 6.43503 0.733611
37 2.19 8.6841 1.01097
38 2.25 10.2328 1.35597
39 2.31 10.6546 1.73458
40 2.37 10.4372 2.125
41 2.43 9.33784 2.49222
42 2.49 8.34234 2.83667
43 2.55 6.85093 3.13333
44 2.61 7.05385 3.45333
45 2.67 5.18098 3.69931
46 2.73 4.58353 3.92681
47 2.79 3.71366 4.11931
48 2.85 3.36873 4.30153
49 2.91 3.11291 4.47708
50 2.97 2.70946 4.63625
51 3.03 2.33282 4.77889
52 3.09 2.89221 4.96278
53 3.15 2.60015 5.13458
54 3.21 2.16776 5.28333
55 3.27 2.03626 5.42833
56 3.33 2.05939 5.58042
57 3.39 2.29574 5.75611
58 3.45 2.25687 5.935
59 3.51 2.25477 6.12
60 3.57 2.06033 6.29486
61 3.63 2.06232 6.47583
62 3.69 2.00662 6.65778
63 3.75 2.45309 6.8875
64 3.81 3.06752 7.18403
65 3.87 3.07892 7.49111
66 3.93 3.52572 7.85375
67 3.99 3.5306 8.22806
68 4.05 3.20807 8.57847
69 4.11 3.33611 8.95375
70 4.17 3.30551 9.33653
71 4.23 3.25786 9.72472
72 4.29 3.24668 10.1226
73 4.35 3.50274 10.564
74 4.41 3.51201 11.0189
75 4.47 3.45093 11.4781
76 4.53 3.18733 11.9136
77 4.59 2.9668 12.3299
78 4.65 2.81655 12.7354
79 4.71 2.88618 13.1618
80 4.77 3.03501 13.6217
81 4.83 3.00925 14.0892
82 4.89 2.67589 14.5153
83 4.95 2.77816 14.9686
84 5.01 2.52691 15.391
85 5.07 2.39439 15.8008
86 5.13 2.20475 16.1872
87 5.19 2.28807 16.5976
88 5.25 2.61121 17.0769
89 5.31 2.57491 17.5604
90 5.37 2.54008 18.0482
91 5.43 2.38166 18.5158
92 5.49 2.65649 19.049
93 5.55 2.72466 19.6079
94 5.61 2.61969 20.1569
95 5.67 2.71427 20.7381
96 5.73 2.64628 21.3167
97 5.79 2.74302 21.929
98 5.85 2.74735 22.5551
99 5.91 2.74672 23.194
100 5.97 2.55194 23.7997
