# Time-averaged data for fix rdf_PO_save
# TimeStep Number-of-rows
# Row c_rdf_PO[1] c_rdf_PO[2] c_rdf_PO[3]
44000 100
28 1.65 6.17224 3.26412
29 1.71 2.13839 3.4375
30 1.77 2.03035 3.61389
31 1.83 1.08188 3.71435
32 1.89 0.726801 3.78634
33 1.95 0.322687 3.82037
34 2.01 0.130194 3.83495
35 2.07 0.13634 3.85116
36 2.13 0.0828143 3.86157
37 2.19 0.0922925 3.87384
38 2.25 0.126941 3.89167
39 2.31 0.0125273 3.89352
40 2.37 0 3.89352
41 2.43 0.0282758 3.89815
42 2.49 0.0134525 3.90046
43 2.55 0.0128503 3.90278
44 2.61 0.0379765 3.90995
45 2.67 0.0948589 3.9287
46 2.73 0.0571328 3.94051
47 2.79 0.111537 3.96458
48 2.85 0.103808 3.98796
49 2.91 0.2593 4.04884
50 2.97 0.247946 4.10949
51 3.03 0.247352 4.17245
52 3.09 0.429348 4.28611
53 3.15 0.501419 4.42407
54 3.21 0.458585 4.55509
55 3.27 0.585575 4.7287
56 3.33 0.884604 5.00069
57 3.39 0.904401 5.28889
58 3.45 1.06336 5.63981
59 3.51 1.02864 5.9912
60 3.57 1.3802 6.47894
61 3.63 1.60226 7.06435
62 3.69 1.90013 7.78171
63 3.75 1.65931 8.4287
64 3.81 1.67592 9.10324
65 3.87 1.9047 9.89421
66 3.93 2.01407 10.7567
67 3.99 1.86112 11.5782
68 4.05 1.68571 12.3449
69 4.11 1.89198 13.231
70 4.17 1.67411 14.0382
71 4.23 1.81461 14.9384
72 4.29 1.82261 15.8685
73 4.35 1.65929 16.7391
74 4.41 1.65704 17.6326
75 4.47 1.64544 18.5442
76 4.53 1.26731 19.2653
77 4.59 1.37777 20.0701
78 4.65 1.09196 20.7248
79 4.71 1.06426 21.3794
80 4.77 1.0226 22.0245
81 4.83 0.84814 22.5731
82 4.89 0.739113 23.0632
83 4.95 0.632395 23.4928
84 5.01 0.589707 23.9032
85 5.07 0.717469 24.4146
86 5.13 0.817828 25.0113
87 5.19 1.00265 25.7602
88 5.25 1.09104 26.594
89 5.31 1.33956 27.6412
90 5.37 1.4394 28.7921
91 5.43 1.50919 30.0259
92 5.49 1.53649 31.31
93 5.55 1.74661 32.8016
94 5.61 1.94892 34.5023
95 5.67 1.96299 36.2521
96 5.73 1.8155 37.9049
97 5.79 1.80898 39.5863
98 5.85 1.724 41.2222
99 5.91 1.60769 42.7792
100 5.97 1.61627 44.3764
44500 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0.110649 0.00462963
22 1.29 0.538234 0.0293981
23 1.35 0.969083 0.0782407
24 1.41 2.75775 0.229861
25 1.47 10.7416 0.871759
26 1.53 16.9207 1.96713
27 1.59 11.6616 2.78241
28 1.65 6.30622 3.25718
29 1.71 2.51352 3.46042
30 1.77 1.64853 3.60324
31 1.83 1.19233 3.71366
32 1.89 0.810847 3.79375
33 1.95 0.235548 3.81852
34 2.01 0.167842 3.83727
35 2.07 0.0918233 3.84815
36 2.13 0.0737941 3.85741
37 2.19 0.10472 3.8713
38 2.25 0.0892904 3.8838
39 2.31 0.0470663 3.89074
40 2.37 0.00894633 3.89213
41 2.43 0.0340271 3.89769
42 2.49 0.00270162 3.89815
43 2.55 0.00128669 3.89838
44 2.61 0.0233497 3.90278
45 2.67 0.0422711 3.91111
46 2.73 0.0920931 3.93009
47 2.79 0.129067 3.95787
48 2.85 0.188613 4.00023
49 2.91 0.184863 4.04352
