# Time-averaged data for fix rdf_OH_save
# TimeStep Number-of-rows
# Row c_rdf_OH_bond[1] c_rdf_OH_bond[2] c_rdf_OH_bond[3]
44000 100
22 0.43 0 0
23 0.45 0 0
24 0.47 0 0
25 0.49 0 0
26 0.51 0 0
27 0.53 0 0
28 0.55 0 0
29 0.57 0 0
30 0.59 0 0
31 0.61 0 0
32 0.63 0 0
33 0.65 0 0
34 0.67 0 0
35 0.69 0 0
36 0.71 0 0
37 0.73 0 0
38 0.75 0 0
39 0.77 0 0
40 0.79 0.120498 9.90099e-05
41 0.81 0.286553 0.000346535
42 0.83 0.654289 0.000940594
43 0.85 2.49602 0.00331683
44 0.87 1.83621 0.00514851
45 0.89 1.51804 0.00673267
46 0.91 11.0699 0.0188119
47 0.93 5.95021 0.0255941
48 0.95 5.70277 0.0323762
49 0.97 5.9087 0.039703
50 0.99 5.67315 0.0470297
51 1.01 3.97759 0.0523762
52 1.03 1.59335 0.054604
53 1.05 2.07844 0.0576238
54 1.07 2.95291 0.0620792
55 1.09 2.52992 0.0660396
56 1.11 2.89647 0.0707426
57 1.13 1.11791 0.0726238
58 1.15 1.42045 0.075099
59 1.17 1.23476 0.0773267
60 1.19 0.981516 0.0791584
61 1.21 0.923842 0.0809406
62 1.23 1.01823 0.0829703
63 1.25 2.57249 0.0882673
64 1.27 1.63077 0.0917327
65 1.29 1.53511 0.095099
66 1.31 0.985109 0.0973267
67 1.33 0.870946 0.0993564
68 1.35 1.54597 0.103069
69 1.37 1.70169 0.107277
70 1.39 1.342 0.110693
71 1.41 1.43639 0.114455
72 1.43 1.4876 0.118465
73 1.45 1.91205 0.123762
74 1.47 1.28644 0.127426
75 1.49 1.31973 0.131287
76 1.51 1.6474 0.136238
77 1.53 1.57287 0.141089
78 1.55 1.40733 0.145545
79 1.57 1.41739 0.150149
80 1.59 2.46678 0.158366
81 1.61 3.56567 0.170545
82 1.63 4.27058 0.185495
83 1.65 2.9392 0.19604
84 1.67 3.44831 0.208713
85 1.69 4.45919 0.225495
86 1.71 1.64482 0.231832
87 1.73 1.6948 0.238515
88 1.75 3.98657 0.254604
89 1.77 2.90195 0.266584
90 1.79 2.18081 0.275792
91 1.81 1.80052 0.283564
92 1.83 1.85088 0.291733
93 1.85 1.77824 0.299752
94 1.87 0.870113 0.303762
95 1.89 1.52513 0.310941
96 1.91 1.16363 0.316535
97 1.93 1.43205 0.323564
98 1.95 1.32387 0.330198
99 1.97 1.60711 0.338416
100 1.99 1.129 0.344307
44500 100
1 0.01 0 0
2 0.03 0 0
3 0.05 0 0
4 0.07 0 0
5 0.09 0 0
6 0.11 0 0
7 0.13 0 0
8 0.15 0 0
9 0.17 0 0
10 0.19 0 0
11 0.21 0 0
12 0.23 0 0
13 0.25 0 0
14 0.27 0 0
15 0.29 0 0
16 0.31 0 0
17 0.33 0 0
18 0.35 0 0
19 0.37 0 0
20 0.39 0 0
21 0.41 0 0
22 0.43 0 0
23 0.45 0 0
24 0.47 0 0
25 0.49 0 0
26 0.51 0 0
27 0.53 0 0
28 0.55 0 0
29 0.57 0 0
30 0.59 0 0
31 0.61 0 0
32 0.63 0 0
33 0.65 0 0
34 0.67 0 0
35 0.69 0 0
36 0.71 0 0
37 0.73 0 0
38 0.75 0 0
39 0.77 0 0
40 0.79 0.241368 0.00019802
41 0.81 0.229596 0.00039604
42 0.83 0.710868 0.0010396
43 0.85 1.82504 0.00277228
44 0.87 2.63777 0.00539604
45 0.89 1.52151 0.0069802
46 0.91 10.5088 0.0184158
47 0.93 5.40112 0.0245545
48 0.95 5.80163 0.0314356
49 0.97 6.16582 0.0390594
50 0.99 6.76455 0.0477723
51 1.01 4.21025 0.0534158
52 1.03 2.62772 0.0570792
53 1.05 2.08438 0.060099
54 1.07 0.987235 0.0615842
55 1.09 1.87051 0.064505
56 1.11 1.8343 0.0674752
57 1.13 1.71106 0.0703465
58 1.15 1.56677 0.0730693
59 1.17 1.84408 0.0763861
60 1.19 0.558667 0.0774257
61 1.21 1.02932 0.0794059
62 1.23 0.921386 0.0812376
63 1.25 1.63957 0.084604
64 1.27 1.28449 0.0873267
65 1.29 0.950729 0.0894059
66 1.31 1.07568 0.0918317
67 1.33 1.10725 0.0944059
68 1.35 2.06679 0.0993564
69 1.37 1.6257 0.103366
70 1.39 1.32594 0.106733
71 1.41 1.81911 0.111485
72 1.43 1.73189 0.116139
73 1.45 2.25759 0.122376
74 1.47 1.83057 0.127574
75 1.49 1.83282 0.132921
76 1.51 1.10719 0.136238
77 1.53 1.41627 0.140594
78 1.55 1.3328 0.144802
79 1.57 1.28381 0.14896
80 1.59 3.30806 0.15995
81 1.61 3.82225 0.17297
82 1.63 3.7857 0.186188
83 1.65 2.31079 0.194455
84 1.67 2.97182 0.205347
85 1.69 3.75911 0.219455
86 1.71 1.55889 0.225446
87 1.73 2.07672 0.233614
88 1.75 3.98581 0.249653
89 1.77 3.41509 0.263713
90 1.79 2.23372 0.273119
91 1.81 1.92028 0.281386
92 1.83 2.05874 0.290446
93 1.85 1.73933 0.298267
94 1.87 0.624885 0.301139
95 1.89 1.2444 0.30698
96 1.91 1.06355 0.312079
97 1.93 1.59796 0.319901
98 1.95 1.47625 0.327277
99 1.97 1.85411 0.336733
100 1.99 1.51267 0.344604
44600 100
1 0.01 0 0
2 0.03 0 0
3 0.05 0 0
4 0.07 0 0
5 0.09 0 0
6 0.11 0 0
7 0.13 0 0
8 0.15 0 0
9 0.17 0 0
10 0.19 0 0
11 0.21 0 0
12 0.23 0 0
13 0.25 0 0
14 0.27 0 0
15 0.29 0 0
16 0.31 0 0
17 0.33 0 0
18 0.35 0 0
19 0.37 0 0
20 0.39 0 0
21 0.41 0 0
22 0.43 0 0
23 0.45 0 0
24 0.47 0 0
25 0.49 0 0
26 0.51 0 0
27 0.53 0 0
28 0.55 0 0
29 0.57 0 0
30 0.59 0 0
31 0.61 0 0
32 0.63 0 0
33 0.65 0 0
34 0.67 0 0
35 0.69 0 0
36 0.71 0 0
37 0.73 0 0
38 0.75 0 0
39 0.77 0 0
40 0.79 0 0
41 0.81 0.576708 0.00049505
42 0.83 0.494758 0.000940594
43 0.85 2.67168 0.00346535
44 0.87 2.05154 0.00549505
45 0.89 2.48504 0.00806931
