# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_HAP c_msd_CO2
43900 4
2 0.00584141 8.32226e-06
3 1.31396 228.207
4 1.32714 228.209
50900 4
1 0.00755505 0.00253927
2 0.00601009 8.56259e-06
3 1.3588 236.917
4 1.37237 236.919
51000 4
1 0.00777011 0.00261155
2 0.00618117 8.80633e-06
3 1.41217 240.629
4 1.42612 240.632
51100 4
1 0.00798819 0.00268485
2 0.00635466 9.0535e-06
3 1.47894 248.899
4 1.49328 248.901
51200 4
1 0.00820928 0.00275916
2 0.00653054 9.30408e-06
3 1.52784 261.818
4 1.54258 261.821
51300 4
1 0.00843339 0.00283449
2 0.00670883 9.55809e-06
3 1.59412 269.942
4 1.60926 269.944
51400 4
1 0.00866052 0.00291083
2 0.00688951 9.81552e-06
3 1.64373 278.18
4 1.65928 278.182
51500 4
1 0.00889066 0.00298818
2 0.0070726 1.00764e-05
3 1.71921 295.749
4 1.73517 295.752
51600 4
1 0.00912382 0.00306655
2 0.00725809 1.03406e-05
3 1.76563 310.117
4 1.78201 310.12
51700 4
1 0.00936 0.00314594
2 0.00744598 1.06083e-05
3 1.83401 306.166
4 1.85082 306.169
51800 4
1 0.0095992 0.00322634
2 0.00763626 1.08794e-05
3 1.89805 283.489
4 1.91529 283.492
51900 4
1 0.00984141 0.00330775
2 0.00782895 1.1154e-05
3 1.9458 266.751
4 1.96347 266.754
52000 4
1 0.0100866 0.00339018
2 0.00802404 1.14319e-05
3 1.99384 261.326
4 2.01195 261.33
52100 4
1 0.0103349 0.00347362
2 0.00822153 1.17133e-05
3 2.05313 267.053
4 2.07169 267.056
52200 4
1 0.0105862 0.00355808
2 0.00842143 1.19981e-05
3 2.10925 285.064
4 2.12826 285.067
52300 4
1 0.0108404 0.00364355
2 0.00862372 1.22863e-05
3 2.16373 298.552
4 2.18319 298.555
52400 4
1 0.0110977 0.00373003
2 0.00882841 1.25779e-05
3 2.22723 298.174
4 2.24715 298.178
52500 4
1 0.0113581 0.00381753
2 0.00903551 1.2873e-05
3 2.31541 279.662
4 2.3358 279.665
52600 4
1 0.0116214 0.00390605
2 0.009245 1.31715e-05
3 2.37454 265.648
4 2.39541 265.652
52700 4
1 0.0118877 0.00399558
2 0.0094569 1.34734e-05
3 2.44354 263.557
4 2.46489 263.561
52800 4
1 0.0121571 0.00408612
2 0.00967119 1.37787e-05
3 2.53394 272.866
4 2.55577 272.87
52900 4
1 0.0124294 0.00417768
2 0.00988789 1.40874e-05
3 2.61246 289.885
4 2.63478 289.889
53000 4
1 0.0127047 0.00427025
2 0.010107 1.43996e-05
3 2.65459 289.573
4 2.6774 289.577
53100 4
1 0.012983 0.00436384
2 0.0103285 1.47152e-05
3 2.69329 289.35
4 2.7166 289.355
53200 4
1 0.0132643 0.00445844
2 0.0105524 1.50342e-05
3 2.75845 275.801
4 2.78227 275.806
53300 4
1 0.0135485 0.00455405
2 0.0107786 1.53566e-05
3 2.83271 261.984
4 2.85704 261.989
53400 4
1 0.0138358 0.00465068
2 0.0110073 1.56824e-05
3 2.91158 259.064
4 2.93642 259.069
53500 4
1 0.014126 0.00474833
2 0.0112384 1.60117e-05
3 2.97828 265.254
4 3.00365 265.258
53600 4
1 0.0144192 0.00484699
2 0.0114719 1.63444e-05
3 3.04587 281.382
4 3.07176 281.386
53700 4
1 0.0147155 0.00494666
2 0.0117078 1.66805e-05
3 3.10001 283.649
4 3.12643 283.654
53800 4
1 0.0150147 0.00504735
2 0.011946 1.702e-05
3 3.15423 284.7
4 3.18119 284.705
53900 4
1 0.015317 0.00514905
2 0.0121867 1.7363e-05
3 3.21722 289.117
