# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
   7700      9.55e+00    6.57e+00      2.11e-02    6.51e-02      3.90e-01    2.66e-01    6.0e-04
   7800      6.89e+00    8.47e+00      2.12e-02    4.39e-02      2.81e-01    3.45e-01    6.0e-04
   7900      8.63e+00    1.15e+01      8.56e-03    3.61e-02      3.52e-01    4.69e-01    6.0e-04
   8000      8.90e+00    7.08e+00      1.99e-02    3.91e-02      3.63e-01    2.89e-01    6.0e-04
   8100      5.81e+00    5.89e+00      5.31e-02    1.66e-02      2.36e-01    2.41e-01    6.0e-04
   8200      6.72e+00    5.64e+00      8.05e-02    6.75e-03      2.71e-01    2.30e-01    6.0e-04
   8300      6.45e+00    5.33e+00      4.66e-02    4.48e-02      2.62e-01    2.16e-01    6.0e-04
   8400      7.27e+00    1.79e+01      9.69e-02    7.76e-03      2.92e-01    7.32e-01    6.0e-04
   8500      6.29e+00    5.39e+00      4.78e-02    4.84e-02      2.56e-01    2.19e-01    6.0e-04
   8600      7.48e+00    5.68e+00      9.43e-02    4.05e-02      3.01e-01    2.31e-01    6.0e-04
   8700      6.21e+00    5.90e+00      2.94e-02    4.73e-02      2.53e-01    2.40e-01    6.0e-04
   8800      8.26e+00    5.96e+00      5.28e-02    2.99e-02      3.36e-01    2.43e-01    6.0e-04
   8900      5.05e+00    5.62e+00      6.60e-02    2.04e-02      2.03e-01    2.29e-01    6.0e-04
   9000      7.39e+00    5.52e+00      1.34e-02    7.05e-02      3.02e-01    2.22e-01    6.0e-04
   9100      1.00e+01    1.45e+01      3.88e-02    9.20e-02      4.08e-01    5.89e-01    6.0e-04
   9200      9.74e+00    5.80e+00      1.81e-02    2.25e-02      3.98e-01    2.37e-01    6.0e-04
   9300      6.82e+00    5.70e+00      9.22e-02    1.62e-02      2.74e-01    2.33e-01    6.0e-04
   9400      8.62e+00    6.88e+00      4.08e-02    2.26e-02      3.52e-01    2.81e-01    6.0e-04
   9500      5.97e+00    6.94e+00      1.03e-02    1.57e-01      2.44e-01    2.70e-01    6.0e-04
   9600      5.90e+00    5.13e+00      9.12e-02    1.41e-02      2.36e-01    2.09e-01    6.0e-04
   9700      5.43e+00    6.33e+00      2.11e-02    6.27e-02      2.21e-01    2.56e-01    6.0e-04
   9800      5.70e+00    5.16e+00      6.37e-02    4.73e-02      2.30e-01    2.09e-01    6.0e-04
   9900      5.69e+00    5.46e+00      5.33e-02    6.46e-02      2.31e-01    2.20e-01    6.0e-04
  10000      4.88e+00    5.54e+00      1.68e-02    5.25e-02      1.99e-01    2.24e-01    6.0e-04
  10100      3.54e+00    6.65e+00      4.97e-03    1.93e-02      1.87e-01    3.51e-01    3.6e-04
  10200      5.04e+00    3.86e+00      1.33e-02    2.31e-03      2.66e-01    2.04e-01    3.6e-04
  10300      3.58e+00    3.85e+00      1.42e-03    1.63e-02      1.89e-01    2.02e-01    3.6e-04
  10400      3.85e+00    3.65e+00      3.67e-03    1.47e-02      2.03e-01    1.92e-01    3.6e-04
  10500      4.01e+00    3.51e+00      1.11e-02    1.35e-02      2.11e-01    1.85e-01    3.6e-04
  10600      3.93e+00    5.24e+00      2.10e-02    1.30e-02      2.07e-01    2.76e-01    3.6e-04
  10700      3.57e+00    3.59e+00      7.27e-03    3.61e-03      1.88e-01    1.89e-01    3.6e-04
  10800      3.85e+00    3.47e+00      1.83e-02    1.68e-02      2.03e-01    1.83e-01    3.6e-04
  10900      7.14e+00    3.61e+00      3.85e-04    1.93e-02      3.77e-01    1.90e-01    3.6e-04
  11000      3.76e+00    5.64e+00      4.52e-03    5.57e-03      1.98e-01    2.97e-01    3.6e-04
  11100      8.50e+00    3.49e+00      2.56e-02    8.43e-04      4.48e-01    1.84e-01    3.6e-04
  11200      4.61e+00    3.97e+00      1.85e-02    5.41e-04      2.43e-01    2.10e-01    3.6e-04
  11300      3.88e+00    3.33e+00      1.70e-02    3.44e-02      2.04e-01    1.73e-01    3.6e-04
  11400      8.68e+00    3.58e+00      3.00e-02    6.98e-03      4.57e-01    1.89e-01    3.6e-04
  11500      3.72e+00    3.50e+00      6.64e-03    1.91e-02      1.96e-01    1.84e-01    3.6e-04
  11600      3.55e+00    9.60e+00      4.92e-03    1.12e-02      1.87e-01    5.07e-01    3.6e-04
